"Stars","Title","Entry ID","Date Added","Date Modified","prepared","Potential Energy-S-OPLS","PDB TITLE","chiral flag","Tot Q","flags","Ionization Penalty","State Penalty","XP GScore","docking score","glide emodel","glide gscore","tautomer probability","MMGBSA dG Bind","Prime Energy","compound code","variant"
,"D08VRX","4","16 Apr 2025 22:30","16 Apr 2025 22:30",,,"",true,2,0,0.1303000000000000,0.1299000000000000,-5.8904848062747899,-5.7605848062747897,-86.9397277832030966,-5.8904848062747899,,-50.4979371612989993,-12638.4510291141996277,"1754","1754-1"
,"D02ICI","2","16 Apr 2025 22:30","16 Apr 2025 22:30",,,"",true,-1,0,0.0002000000000000,0.0000000000000000,-9.4771979542944305,-9.4771979542944305,-44.1574890127822002,-9.4771979542944305,1.0000000000000000,-46.7571469343037975,-12313.1143984285008628,"432","432-1"
,"D02DJS","6","16 Apr 2025 22:30","16 Apr 2025 22:30",,,"",true,-2,0,0.0000000000000000,0.0000000000000000,-5.6365706483740503,-5.6365706483740503,-60.7186458973182965,-5.6365706483740503,1.0000000000000000,-46.5001111684213981,-12519.9827326955000899,"375","375-1"
,"D09RUW","11","16 Apr 2025 22:30","16 Apr 2025 22:30",,,"",false,0,0,0.0001000000000000,0.0000000000000000,-5.0373743222648999,-5.0373743222648999,-49.8674430847167969,-5.0373743222648999,1.0000000000000000,-44.7926921080707032,-12411.5708753305007122,"1929","1929-1"
,"D02BLO","8","16 Apr 2025 22:30","16 Apr 2025 22:30",,,"",false,0,0,0.0000000000000000,0.0000000000000000,-5.4398907932887797,-5.4398907932887797,-54.8689804077148011,-5.4398907932887797,1.0000000000000000,-42.4882610212844014,-12441.4666062578999117,"365","365-1"
,"D00UJF","3","16 Apr 2025 22:30","16 Apr 2025 22:30",,,"",true,0,0,0.0001000000000000,0.0000000000000000,-7.1552437832507101,-7.1552437832507101,-55.6760147107354015,-7.1552437832507101,1.0000000000000000,-40.9411271222724977,-12317.7389591601004213,"127","127-1"
,"D05MIL","10","16 Apr 2025 22:30","16 Apr 2025 22:30",,,"",false,0,0,0.0000000000000000,0.0000000000000000,-5.1943509943561796,-5.1943509943561796,-52.1521339416503977,-5.1943509943561796,1.0000000000000000,-40.6117995668373979,-12448.7222503306002181,"1103","1103-1"
,"cluster_1_representative - prepared","1","16 Apr 2025 22:30","16 Apr 2025 22:30",true,-869.1922799349889601,"MDANALYSIS FRAME 0: Created by PDBWriter",,,,,,,,,,,,,"",""
